c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1cc(ccc1O)c1ccc(O)c(O)c1
O/C(=C\Cc1c(O)cccc1)/c1ccc(cc1)O	Oc1ccc(cc1)c1cc(=O)c2c(O)cc(O)cc2o1	Oc1cc(O)c2c(c1)c(c(ccccccccccccccccc))Oc))
C(=N\NC(=C)NC(=O)Cc1ccc(cc1)OCF)/C1CC1	FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1	FC(F)(F)c1ccccc1C(c1cC1cc1cc)Cccccccccccccccc
Cl/C=C/C=C\C=C\Cn1ccc(cc1=O)CC	CCCCCCc1ccn(Cc2ccccc2Cl)c(=O)c1	CCCc1c(ccccccccccccccccccccccccc
O(C)C(=C)/C(=C(/C)\C=C\OC)/c1ccc(c(=O)cc1CNC(=O)C)OC	COc1cc2CC[C@H](NC(=O)C)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC	COc1ccc(cc1ccccc(ccc(cccccccccccccccccccc))()O))O)O)O)O)O
C(=O)([C@@H](O)[C@H](N)Cc1ccccc1)N[C@H](C=O)C	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O	C[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]c1=O)C(=O)O
c12oc(=O)n(c2cc(cc1)C)CCCCN/C=C/CCCCCC1SCC2C1NC(=O)N2	Cc1ccc2oc(=O)n(CCCCn3cc(CCCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)nn3)c2c1	CS(=O)(=O)c1cccc(CCC(CCCCCCCCCCCCCCCCCCCCCCCCcCcCcccccccccccccC
NS(=O)c1ccc(CNCCCCNC(=O)C/C(=C\C)/N)cc1	CC(NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccc(cc1)S(=O)(=O)N	NS(=O)(=O)c1ccc(cc1)CC(=O)NCCCC(=O)cccccccccccccccccccc
c1c2c(ncc1)n(cn2)CCCN/C(=N/C)/S/C=C/C	COc1nc2cccnc2n1[C@@H]1C[C@@H](C1)Nc1nc2ccccc2s1	Cc1ccccccccccccccccccccccccccccccccc1c
c1ccc(COCNCP(=O)(NCC(=O)N[C@@H](Cc2ccccc2)C(=O)O)O)cc1	CC(C)C[C@H](NP(=O)(O)CNC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](Cc1ccc(I)c(O)c(=O)[nH]
Cl/C=C/CNC(=O)C(C)CCNC1CCCCC1	Cc1c(Cl)cccc1NC(=O)C1CN(C2CCCCC2)C(=O)C1	Clc1cc(Cl)cc(NC(=O)C2CN(C)C2)cC1
C(=C\C)\C(=C)N(c1ccccc1)C=N	Cc1cccc(c1)n1cnc2cc(N)ccc12	O=C(Nc1ccccc1ccccccccccccccccc
NCCCCCCN/C=C(/C[C@H](NC(=O)[C@@H](CCO)CC(C)C)C=O)\C=C\C=C/C	CC(C)C[C@H](CC(=O)O)C(=O)N[C@H]1Cc2cn(CCCCCCNC1=O)c1ccccc21	CC(C)C[C@H](CC(=O)O)C(=O)N[C@@H]1CCCNC(=O)[C@@H](C1)C(=O)OC(C)(C)C
O=C(/C(=C/C)/C(=O)NC/C=C/C(=C)OCCCCC)O	CCCCCCOc1cccc(Cn2ccc(O)c(C(=O)O)c2=O)c1	CCCCOc1ccc(cccccccCccCCcCcccccCC)cCc)C
ONc1cnc(s1)NC/C=C/C=C\C=C\OCC	CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-]	CCOC(=O)c1c(N)n(Cc2ccccc2)c(O)(c)cccccc)
c1ccccc1c1n(c(=N)sc1)C(=N)SCC(=O)Nc1ccc(c(c1)O)O	Cc1ccc(cc1)c1csc2nnc(SCC(=O)Nc3ccc4OCOc4c3)n12	OC(=O)c1cccccccccccccccccccccccccccccccccccccccccccccc
C(=C)/C=C\1/C2(C/C=C\C)SCCN2CC1=C	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21	O=C(NCc1ccc2ccccc2c1)S(=O)(=O)C
c1cc(c(c(=O)n1Cc1cc(ccc1)OCCCC)C)O	CCCCCCOc1cccc(Cn2ccc(O)c(C(=O)O)c2=O)c1	CCCCOc1ccc(ccccccccccccccccccccCc))))O)O
O(/C(=N/C)/C(=N)N1CCC(C(C)O)CC1)C/C=C\CN/C=N/C/C(=C\C=C/C)/S	CC(O)C1CCN(CC1)c1nccnc1Oc1ccc(Nc2nc3ccccc3s2)cc1	CC(C)(CCCccccccccccccccccccccccccccccccccccccccccccccc)c)c)c)
O=C1NCC(N1)C/C=C/C=C\C(=C)OCCCC	CCCCOc1cc(CC2CNC(=O)N2)ccc1OC	CC(=O)C1=C(CCC1)C(=O)Nc1cccccC1cC1Cccc
C(C(C)CCNCc1cncnc(c[nH]c1)N)S	CSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O	CCCC[C@H]1CNC[C@H]1c1nc(ns1)c1ccccc1
C(=C)/C=C/C=C/C=C\C=C\CNCCNC(=O)C/C=c\1/cc[nH]/c1=C/C	O=C(N1CCN(CC1)C1c2ccccc2-c2ccccc12)c1ccc2[nH]ccc2c1	O=C(N[C@H]1C[C@@H]1c1ccccc1)c1ccc2c(cncc2c1)c1cccc2ccccc12
C(=C\C(=C)/C=N\C=C\C(=N/Cc1cncc(c1)OC[C@H](Cc1ccccc1)N)\N)(\C=C)/O	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1cncc(OC[C@@H](N)Cc2ccccc2)c1	Nc1nc2nc(cnc2c(=O)[nH]1)c1cnc([nH]c2nc(N)nc2c1)c1ccc(O)c(O)c1
COc1c(c(cc(c1)Nc1nc(=C)/c(=C(\C)/C(=C)/C(=C\C)/OC)/o1)OC)OC	COc1cc(Nc2nc3cccc(c4c(F)cccc4OC)c3o2)cc(OC)c1OC	COc1cc(cccccccccccccccccccccccccccccccccccccccccccccO)
COC/C=C\C(=C)/N=C(/c1sccn1)\Nc1ccc(cc1)/C(=N\C)/N	COc1cc2nc(c3nccs3)n(c3ccc4c(N)nc(N)nc4c3)c2cc1OC	COc1cc(ccc1ccccccccccccccccccccccccccccccccccc
C=C/C(=C(/N)\C(=C)/C(=C/C=C/C(=C)I)/C=N\C=C)/Br	OC(=O)c1nc2ccc(I)cc2c2[nH]c3c(Br)cccc3c12	Nc1cc(nc2ccccc12)c1ccc(cccccccccccccccccc
OC(=O)CO/C=C/C=C(\C)/SCCN/C=N/C(=C)c1c(cccc1OC)OC	COc1cccc(OC)c1c1cnnc(NCc2nc3cc(OCC(=O)O)ccc3s2)n1	COc1cc(ccc1OC)c1ccc(ccc(ccc(cccccccccccccccccccc))O)O)O)O
c1ncc2OCCCCCO/C(=C/C)/CNC(=O)Nc1n2	Clc1ccc2OCCCCCOc3cncc(NC(=O)Nc2c1)n3	CC(cccCCcCcccccccccccccccCccccCCcc)CCc
C=C(C)/C=C(/C/C(=C/C=C)/CC(=O)N)\C	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21	NC(=O)c1cccccccccccccccccccccccc
c1ccccc1C[C@H](C)NCNCCC1(CCc2c(cccc2)O1)C	O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CC1)CC(=O)c1ccccc1O2	COc1cc2ccccc2c(c1cccCcCcCCCCCCCCCCCCccccCCCCcccccccccccccccccc
C1C(C)CC2CCCC1(C2)NCCCCCCCCNCC/C=C/C=C/N(C)C	CN(C)c1ccc(CC(=O)NCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1	CN1CCC(CC1)CC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcccccccc
CCNC(=O)CNCCN(/C(=C/C)/C=C(/Nc1sc(c2cnccc2)cn1)\N)CC	O=C(CN1CCN(CC1)c1ccnc(Nc2ncc(s2)c2cccnc2)c1)N1CCOCC1	CC(C)(CCCCCCCCcCcccccccccccccccccccccccccccccccccccccccccccc)c)c)
c1ccccc1C/C(=C/C(=C\CO)/O)/C	Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1	Oc1cc(O)c2c(c1)c(c(ccccccccccccc)c
C(C)CS(=O)(=O)/C(=C/C=C/OC)/C	CC#CCOc1ccc(cc1)S(=O)(=O)CCCS	CCOC(=c(C)cccccccccc)()c()c1c
C1C2(NCCCCCCCCNCCc3ccccc3)CCCC(CC1C)C2	CN(C)c1ccc(CC(=O)NCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1	CC(=O)CC1CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcccccccccccc
C(CC(=O)O)C/C=C/N(C)c1ccc(Cl)cc1	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Cl)ccc12)C(=O)O	CC(=O)C1=C(CCCcCcCc(Cccccccccccccccc)c
C(=C\C=C/CCC(NC)CCC1=CCNO1)\C	O=c1cc(o[nH]1)[C@H]1CCN[C@@H](Cc2ccccc2)C1	NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc2c1=O
Clc1c(Cl)c(ccc1)CNCC1CNC[C@H](C1)NCOC(C)(C)C	CC(C)(C)OC(=O)N[C@@H]1CNC[C@@H](C1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1	CC(C)C[C@H](CC(=O)NCCCCCCCCCCCCCCCCCCcCcCcccccccccccccccc
C(=O)(C1=C(CCC1)C)N/C(=C/C=C/c1cccc(c1)OC(F)(F)F)/C(=C)F	OC(=O)C1=C(CCC1)C(=O)Nc1c(F)cc(cc1F)c1cccc(OC(F)(F)F)c1	OC(=O)C1CC(CC1)C(=O)c1cccc(c1)c1ccccccccccccccccccc)c)c)
C(C)N(C)CCNCCCN(/C=C/CC(F)(F)F)c1ccccc1	CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1	FC(F)(F)c1ccc(CNC(=O)C2CN(C2CCC2)C(=O)N2CCCCC2)c2ccccc2c1
C(=C\C(=C/C)\C)/CCCCCOC1[C@H](Cc2cc(ccn2)C)CNC1	Cc1ccnc(CCCCCO[C@H]2CNC[C@H]2Cc2cc(C)cc(N)n2)c1	C[C@]1(CCCN1CC[C@H]([C@H](O)C1)c1c(Cc2ccccc2)ccc1OC
FC(=C)/C=C(\C(=C)O)/[C@@H](C)CNC=O	Fc1ccc2OCC[C@]3(NC(=O)NC3=O)c2c1	C[C@](O)(COc1cc(ccc1cccccccc)c)))))c()c)
[C@@H]1([C@H](CNC1)C/C(=C/C=C\CN)/N)NC	NCCN[C@@H]1CNC[C@@H]1Cc1cccc(N)n1	N[C@@H](CCCC@CCCCCCcccccccccccccccccccccccccc
COC(=C)/C=C\CNC(=O)CN(S(=O)(=O)c1c(nccc1)N)C	COc1ccc(NC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1	COc1ccc(cc1)ccccc(c)()=(()N)Nc(cccO)(c)c)c)cO)c)
C1=Nc2c(CN1)cc([nH]2)CCCc1csc(C(=O)N[C@H](C=O)CCCO)c1	Nc1nc2[nH]c(CCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	OC(=O)[C@H](CCCCc1ccc(ccccccccccccccccccc)C)c)c()cc)c)c)c)c))c))c))c))
ClC/C=C\C(=C/C)\C=N\C=C\c1n(CC)c2ccc(cc2n1)C(=O)NCCOC	COCCNC(=O)c1ccc2n(CCOC)c(nc2c1)c1cnc([nH]1)c1ccc(Cl)cc1	COCCN(C)CC(O)Cc1ccc(cc1)c1ccccccccccccccccccccccccccccccc
OC(=O)C1CCC=C(C1)N(/C=C/C=C)CC(=O)N	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O	NC(=O)c1ccc(CC(CCCCCCCCCCCCCCCcCcccccc))
OC/C=c\1/c(ccc/c1=C/C)Nc1ccccc1C(=O)O	OC(=O)C(=O)N(c1ccccc1C(=O)O)c1cccc2ccc(O)cc12	OC(=O)c1ccccccccccccccccccccccccccccccccccc
Fc1ccc(c(c1CC(CNC)NC(=O)Nc1sc(S)nn1)F)F	CNC(=O)[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)Nc1nnc(S)s1	FC(F)(F)c1cccc(c1c1cCN(C)C(cccccccccccccccccccc
c1(ccccc1C(=O)NC(C)c1nnc(SCCOc2ccccc2)n1C)F	CC(NC(=O)c1c(F)cccc1F)c1nnc(SCCOc2ccc(F)cc2)n1C	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1C
C(NCCOC/C=C\C(=C)C/C(=C/C)/C)C	C(CN1CCCC1)Oc1ccc(Cc2ccccc2)cc1	C(Nc1ccc(cc1c1ccc(O)cc1)c1ccccc1
C(=C\CS(=O)=O)\C(=C)CNCc1ccccc1F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1c(F)cccc1F
CCCCCNCCC/C(=C/C(=N\C)/C(CC)CC)/N	N#Cc1nc(CCCN2CCCCC2)cc(n1)C1CCCCCC1	NC(=O)CC1CCCCC1)c1ccccccCCCCccccccccCCC
C(=C(\C)/CN1C(=C)CNC(=O)C1)\C	O=C1CN(Cc2ccccc2)c2ccccc2N1	Cc1ccccc1CNC(=O)C1CN(C)c1ccccc1
Brc1cc(ccc1)CCCCCCNCC(=O)N	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O	NC(=O)CCCCCCCCCCCCCCCCCCCcCcccccccccccCC
C/C=C(\N)/c1nc(cc(C)n1)NCCNc1cccc(n1)C(F)F	Cc1nc(nc(NCCNc2cccc(n2)C(F)(F)F)c1Cl)c1ccccn1	Fc1ccc(cn1)C(=O)NCc1ccccc1c1ccccccccccccccccccccccc
CC/C=C/C1(C(=C)/C=C/C(C)(C)CCC(C)(C)C=C)CC1	C/C(=C\C(=O)O)/C=C/C1(CC1)c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CCCC1)c1ccc2c(c1)C(C)(C)CCCCCCCCCCC
C(=C\C)(\C=C(\N)/CC(=O)NC(=C)/C=C\C=C)/Cl	OC(=O)Cc1ccc2Nc3cc(Cl)ccc3C(=O)Nc2c1	NC(=O)c1cccccccccccccccccccccccccccccc
C(=C\C(=O)O)/C=N\C(=C)c1nccc(c1)C(=O)NCC/C=C/C=C	OC(=O)c1ccnc(c1)c1cc(ccn1)C(=O)NCCc1ccccc1	OC(=O)c1cccccccccccccccccccccccccccccccccccccccccccc
C/C=C\C=C\C(=C/C=C)\N/C(=N/CC)/S	CC(=O)c1sc(Nc2ccc3ccccc3c2)nc1C	Cc1nc2cccc(NS(=O)(=O)c3cccn3)cc2c1
N(/C=C(/CC(PO)(P(=O)(O)O)O)\C)C	C[n+]1cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c1	OC(Cc1ccc(cc1)c1ccccc()O(()OOO()OOO)OO)OOOOO
c1(cc(nn1CCO)CN)/C(=N/C(=N)Nc1cc(ccc1OC(F)F)NCCN(CC)C)/C	CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2ncc3CCc4c(nn(CCO)c4-c3n2)C(=O)N)c1	CN1CCN(CC1)C(=O)c1cc(Nc2cc((nn2cc(F)cc)c)c(ccccccccccccc)c)
C(NC(=N)N)(C(=O)NCC(=O)N(C)CCCc1[nH]nc(c2c(c(Cl)ccc2)Cl)c1)C(CCC)C	NC(=N)NC(C1CCCCC1)C(=O)NCC(=O)N1CCC(CC1)c1cc(n[nH]1)c1cccc(Cl)c1Cl	CC(C)CC1CCN(CCC(CCCCCCCCCCCCCCCCcC(ccccccccccccccccccccccccccccccccccc
C(=C\C=N)(\C)/NC/C(=C/CC/C=C\C=C/C)/N	N(c1ccncc1)c1ncnn2cc(cc12)c1ccccc1	NC(=O)c1ccccccccccccccccccccccccccccc
O=CNc1[nH]c(c2ccc3c(c2)nccn3)c(C/N=C\C)n1	CC(=O)Nc1nc(c([nH]1)c1ccc2nccnc2c1)c1ccc(F)c(C)n1	Cc1ccccccccccccccccccccccccccccccccccccccccccccc
O=C(N)CC/C(=C/C=C/CNc1ccccc1)/C=C/N	NC(=O)c1ccccc1c1ccc2c(Nc3ccccc3NC2=O)c1	NC(=O)C(=O)CC(=O)c1ccc2c(Nc3ccccc3)c(=O)cc12
C=CC(=C)Sc1c(cnc(c1)NC1CCCNC1)C(=O)N	NC(=O)c1cnc(N[C@H]2CCCNC2)c2cc(sc12)c1ccc(Cl)cc1	NC(=O)c1cccc(NC2CCN(CC2)C(=O)c2cccccCcC)1c11
C/C=C(/C)\C(=C)COCCCCc1c2c(ccc1)CCCN2CC(=O)O	OC(=O)c1c(CCCOc2cccc3ccccc23)c2cccc3CCCn1c23	OC(=O)CCCCCCCCCCcCccccccccccccccccccccccccccccccccccccccc
OCC(O)C[C@H](O)CCNC(=O)NC(=O)c1ccccc1	OC[C@H]1O[C@@H](NC(=O)NC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](CO)C(=O)O
c1cc(ccc1NC/C(=C/C)/C=C(\C)/F)C(=C)C(=N)CC	CCc1nc(N)nc(N)c1c1ccc(NCc2cc(F)cc(F)c2)cc1	OC(=O)c1ccccc1c1ccccccccccccccccccccccccccccc
c1(c(Cl)cc(cc1)c1cc(=O)[nH]c(n1)SCC(=O)NC/C=C\C(=C)S(=O)=O)Cl	CC(Sc1nc(c2ccc(Cl)c(Cl)c2)c(C#N)c(=O)[nH]1)C(=O)Nc1ccc(cc1)S(=O)(=O)N	OC(=O)C[C@@H](NS(=O)(=O)c1ccc2cc(Cl)ccc2c1C(=O)O)c1c(Cl)cccc1Cl
Cl/C(=C(\O)/C(=C)C1[C@H](O)[C@@H](O)[C@H](O)CO1)/C	COc1cc(Cl)c(O)c(c1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(Cl)cc1O
C1CC(CCN1C(=O)c1ccc(C(=O)N(C)CCC(N2CCCC2)C)c(c1)N/C=C/C=C)N(CC)CC	O=C(N1CCC(CC1)N1CCCC1)c1ccc(C(=O)N2CCC(CC2)N2CCCC2)c(Nc2ccccc2)c1	CN1CCN(CC1)C(=O)CCCCCCCCCCCCCCCCCCCcCcCcCccccccccccccccccccccccccccc
c1(c(Cl)cccc1)N/C(=C(/C(=O)O)\CC)/C	CCOC(=O)c1c(C)nn(c1C)c1ccccc1Cl	OC(=O)Cc1cc(Cl)ccc1C(=O)NCc1ccc(F)cc1
C1N(C(=O)CCCN(C)CCNCN(c2ccccc2)N=C(C)C)CSC1	Cc1cc(N2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)n(n1)c1ccccc1	CS(=O)(N1CCCCC1)c1ccc(NC(=O)CCn2c3CCCC3CCNCC3)cc12
NC(=O)Cn1c2c(cccc2)cc1C[C@H](C=O)C	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O	NC(=O)c1ccc(cc1ccC1c1ccccccccccccccccccccc))
C(N)C/C=C(/C)\CNCC/N=C(\C)/C1(O)CCCCC1	NC(=N)c1ccc2[nH]c(cc2c1)c1cccc(n1)C1(O)CCCCC1	NC(=O)c1ccc(NCc2cCCc3C(N(CCCOC)c3c2)cc1
CCOCC1[C@H](C(=C)C)NC(=S)N=C1C	CCOC(=O)C1[C@@H](NC(=S)N=C1C)c1cccc(O)c1	COc1ccc(cc1)c1cccCcCCCCCCCCCCCC)CCcC)
n1[nH]cc2c1cc(cc2)C/C=C(\N=C\N)/NC[C@H](NC(=O)OC(C)(C)C)C	C[C@@H]1C[C@H](CN(C1)c1cc(nc(N)n1)c1ccc2c(N)[nH]nc2c1)NC(=O)OC(C)(C)C	CC(C)C[C@H](CO)Nc1ccc(cc1cccccccccccccccccccccccccccccccccccccccc
CCCCCN/C(=C/1\N=CN(CCN2CCN(C)CC2)C1)/N=C	CN1CCN(CCn2cnc3c(NC4CCCCC4)nc(nc23)C#N)CC1	NC1CN(CC1)C1=Nc2cc(ncc(n2)C2CCCC2)c2cc(Cl)ccc21
C(C)N(CC)c1snc(c1N=C)/C=C/C/C=C\CN	COc1cc(ccc1N)c1cnc2c(snc2c1)N1CCOCC1	CN(C)CC(C)c1ccccccccccccccccccccccccccc1c
C(=C)(S(=O)(=O)NCN/C(=N/C(=C)C)/N)/C(=C\C=C)/COC	COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)cc(C)n1	COc1ccc(ccccccccccccccccccccccccccccc)c)c)c)c)
O=C(C=O)C(CC)NC(=O)/C(=C/C)/C=C(/C(F)(F)F)\COCc1ncccc1	CCC(NC(=O)c1ccc(OCc2ccccn2)c(c1Cl)C(F)(F)F)C(=O)C(=O)N	CC(C)CC(C(C(ccccccccccccccccccccccccccccccccc()cc)c)c)c))c)c)
C(=N\C)(\C=N)/N/C=C/C(=N)NCC1CCNCC1	N#Cc1cnc(Nc2cc(NCC3CCNCC3)ncn2)cn1	NC1=NC(CC12)c1c(Cc2cnc(N)nc2c(cn1n1
C(=C\C1CC1/C=C/C=C\C(=O)O)/C(=C/C)/C(C)(C)CC	C/C(=C/C(=O)O)/C=C/C1CC1/C=C/C1=CC(C)(C)CCC1(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1CC1)C(=O)c1ccc(CC(C)Cc2c(O)cc(O)c1
[C@H]1(/C=C/C=C(\C=C\CCC1)/O)CC[C@H](C)[C@H](C)O	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)C#C
N(=C)/C=c/1\c(=C)c(ccc1)c1cc(cc(c1)O)C(C)C#Cc1c(ncnc1CC)N	CCc1nc(N)nc(N)c1C#CC(C)c1cc(OC)cc(c1)c1cccc2cnccc12	CCc1nc(N)nc(N)c1C#CCc1cc(OC)ccc1cccccccccccccccccccccccccc
c1c(C[C@@H](N)CO/C(=C/C(=C)/C(=C/c2c(C)cnc3c2cccc3)/N)/C=N)cccc1	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1cncc(OC[C@H](N)Cc2ccccc2)c1	NC(=[NH2+])c1ccc2[nH]c(cc2c1)c1ccc(Oc2ccc3[nH]c(=O)[nH]c3c2)c1[O-]
CCCN(S(=O)(=O)c1cc(ccc1)OC)CCNS(=O)(=O)/C(=C/C=C\C)/C	Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	COCCCOc1cc(ccc1OC)C(=O)N(C[C@@H]1CNC[C@H]1CNC[C@H]1Cc1ccccc1)C(=O)O
C(C1SCCS1)N/C(=C/1\C(=C(NC1)c1ccc(cc1)OC)c1ccccc1)/N=C	CN(C)CCOc1ccc(cc1)c1[nH]c2ncnc(NCC3SCCS3)c2c1c1ccccc1	COc1cc2nc(c3nccs3)n(c3ccc4c(N)nc(N)nc4c3)c2cc1C
c1(ccccc1)c1ccc(cc1)C[C@H](C[C@H](C(=O)O)C)NC(=O)CC	C[C@H](C[C@@H](Cc1ccc(cc1)c1ccccc1)NC(=O)CCC(=O)O)C(=O)O	C[C@H](CC(=O)O)C(=O)C(=O)[C@@H]1Cc2cccc(c2)[C@H](C)c1ccc(Cl)cc1
c1cc(cs1)S(=O)NC/C(=C\C(=C/C)\C(=O)O)/O	OC(=O)c1sccc1S(=O)(=O)Nc1ccc(cc1O)C(=O)O	OC(=O)COc1c(()cccccccccccccccc)()c)c)c))O)O
c1(nc(nc(c1N)Nc1ccccc1OCCCN1CCN(CC1)C)C#N)NC	CN1CCN(CCCOc2ccccc2Nc2nc(nc3n(cnc23)C2CCCC2)C#N)CC1	CN1CCN(CC1)CCc1cc(CccccccccccccccccccccccccccccCCcCCcCcc)
CN(C/C=C/CO/C(=C/c1cc(nn1C)C(=C)/C=C\CBr)/CF)C	CN(CC=C)C/C=C/COc1cc2n(C)nc(c3ccc(Br)cc3)c2cc1F	CN1CCN(CC1)c1ccc((cccccccccccccccccccccccccccc)c)
C/C=C(\CF)/C[C@@H](N)CC(=O)N1[C@H](CNC(=O)/C(=C/C)/C=C\C)CCC1	N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)c1ccccc1)Cc1ccccc1F	N[C@@H](CC(=O)N1CCC(CC1)C(=O)NCc1c(F)cc(cc1F)[N+](=O)[O-]
C(=C\C=C\CC(=O)N/C(=C/CC1CC1)/NN)(/CS)\C=C	O=C(Cc1ccc(cc1)c1cccs1)Nc1cc(n[nH]1)C1CC1	NC(=O)c1cccccccccccccccccccccccccccccccc
C(=C\C=C\OCCn1c2c(nc1SCCC=O)cccc2)/C	Cc1ccc(OCCn2c(SCCC(=O)O)nc3ccccc23)cc1	Cc1cc(OCCCc2c(sc3ccccc23)C(=O)O)cc(OC)c1OC
CCO/C(=C/C=C/S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(=O)(=O)C)/C	CCCCOc1ccc(cc1)S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(=O)(=O)C	COC(=O)[C@H](CC(=O)O)[C@@H]1O[C@H](CNC(=O)(C)Cc2ccc3[nH]c(=O)[nH]c3=O)
n1c(nc(c(C)c1C/C=C/N(C)C)O)OCCCC(F)(F)F	Cn1cnc(c1)c1nccc2c(O)nc(OCCCC(F)(F)F)nc12	CC1COc1cc(Ccccccccccccccccccccccccccccc))())c))c)
n1c2nc(NC(=C)C)nc(c2[nH]c1)OCC1CCCCC1	Oc1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1	NC(=O)c1ccc(Nc2nc(C)c3n(CCCCCC4CCCCC4)nc3n2)cc1
CC(C)C/C(=C\C(=C\C(=C)C(F)(F)F)\NC)/N	CC[C@@H]1[C@H](C)CNc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F	CC(C)c1cccccccccccccccccccccccccccc)c)
c1(=O)cc(C(=O)N[C@H](C(=C)C=C)CC(=O)O)[nH]n1c1ccccc1F	Cc1ccccc1[C@H](CC(=O)O)NC(=O)c1cc(=O)n([nH]1)c1ccccc1F	OC(=O)[C@H](Cc1ccccccccccccccccccccccccccccccccccccccc)c))c)
C1C(CCCC1)C#Cc1ccc2nc(n(c2c1)/C(=N/C=N\C)/N)C	Cc1nc2ccc(cc2n1c1ncnc(N)n1)C#CC1(O)CCCCC1	Cc1nc(cn1Cc1c(C)cc(cc1)CcC)cccccccccccccccccC
C1CC(CCN1CCOC)c1cc(N2CC(F)(F)CC2)nc(Nc2ccccn2)c1	FC1(F)CCN(C1)c1cc(cc(Nc2cc(ccn2)C#N)n1)C1CCN(CC1)C1COC1	CC1CCn1c(CNcCc((1((11)c1cc(CccccccccccccccccccccccccccCcCcc)
C(=C)/C(=C\C=C)/NC/N=C/C(=C/C=N)/C=C/NCCN(CCN)CC	Cc1ccc(Nc2nccc(n2)c2ccnc(c2)N2CCN(CC[NH3+])CC2)cc1Cl	NCC1CCN(CC1)c1cccccccccccccccccccccccccccccccccccc
C(C=O)Cc1ccc(c(c1)I)O/C(=C/C(=C(/O)\CI)/I)/C	N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O	OC(=O)Cc1c(I)c(Oc2ccc(I)c(I)c2)c(I)c1)C(=O)O
