c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1ccc2ccccc2c1c1ccc(cc1)C(=O)c
OP(=O)C(P(=O)(O)O)(O)C/C=C/C=C	OC(Cc1cccnc1)(P(=O)(O)O)P(=O)(O)O	OC(Cc1cccc(c1)c1cccc2c1oc1ccccc21)(P(=O)(O)O)P(=O)(O)O
OC/C=C/C=C(\C)/c1cc2cccnc2c(n1)C/C=C/N(=O)O	OC(=O)c1ccc(cc1)c1cc2cccnc2c(n1)c1cccc(c1)[N+](=O)[O-]	Oc1cccccccccccccccccccccccccccccc)))[[)O[OO[O[OOOO
O/C(=C\Cc1c(O)cccc1)/c1ccc(cc1)O	Oc1ccc(cc1)c1cc(=O)c2c(O)cc(O)cc2o1	Oc1ccc(cc1)c1cc(=O)ccc(O)c1Occc
C(=N\NC(=C)NC(=O)Cc1ccc(cc1)OCF)/C1CC1	FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1	FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1
Cl/C=C/C=C\C=C\Cn1ccc(cc1=O)CC	CCCCCCc1ccn(Cc2ccccc2Cl)c(=O)c1	Oc1cc(Cc2ccccc2)ccccccccccccccc
O(C)C(=C)/C(=C(/C)\C=C\OC)/c1ccc(c(=O)cc1CNC(=O)C)OC	COc1cc2CC[C@H](NC(=O)C)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC	COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1
C(=O)([C@@H](O)[C@H](N)Cc1ccccc1)N[C@H](C=O)C	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O	CC(C)C[C@H](NC(=O)[C@@H](O)[C@@H](N)Cc1ccccc1)C(=O)O
c12oc(=O)n(c2cc(cc1)C)CCCCN/C=C/CCCCCC1SCC2C1NC(=O)N2	Cc1ccc2oc(=O)n(CCCCn3cc(CCCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)nn3)c2c1	Cc1cc2ccnc(N[C@@H]3CCNC[C@H]3OCC3CCS(=O)(=O)CC3)c2[nH]c1=O
NS(=O)c1ccc(CNCCCCNC(=O)C/C(=C\C)/N)cc1	CC(NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccc(cc1)S(=O)(=O)N	NS(=O)(=O)c1ccc(NCCC(CCCCCcccccccccccccccccccccc
c1c2c(ncc1)n(cn2)CCCN/C(=N/C)/S/C=C/C	COc1nc2cccnc2n1[C@@H]1C[C@@H](C1)Nc1nc2ccccc2s1	COc1nc2cccnc2n1C1CC(C1)Nc1nc2ccccc2s1
c1ccc(COCNCP(=O)(NCC(=O)N[C@@H](Cc2ccccc2)C(=O)O)O)cc1	CC(C)C[C@H](NP(=O)(O)CNC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	OC(=O)[C@@H](CNP(=O)(O)c1ccc(OC)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
Cl/C=C/CNC(=O)C(C)CCNC1CCCCC1	Cc1c(Cl)cccc1NC(=O)C1CN(C2CCCCC2)C(=O)C1	Clc1ccc(Cl)cc1NC(=O)C1CCCCCCCCCCCCCCCCCCCCCCCC
C(=C\C)\C(=C)N(c1ccccc1)C=N	Cc1cccc(c1)n1cnc2cc(N)ccc12	Cc1nc2ccccc2c(N)c1=O
NCCCCCCN/C=C(/C[C@H](NC(=O)[C@@H](CCO)CC(C)C)C=O)\C=C\C=C/C	CC(C)C[C@H](CC(=O)O)C(=O)N[C@H]1Cc2cn(CCCCCCNC1=O)c1ccccc21	CN(C)C(=O)NCC[C@H](CCC=NC(=O)c1ccc(HCCCCCCCCC)C)C(=O)OC
O=C(/C(=C/C)/C(=O)NC/C=C/C(=C)OCCCCC)O	CCCCCCOc1cccc(Cn2ccc(O)c(C(=O)O)c2=O)c1	CCCCCOc1cccc(CC2=O)cc1OCc1c(O)cccc1OC
ONc1cnc(s1)NC/C=C/C=C\C=C\OCC	CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-]	CCOc1ccccc1c1nc(Nc2cc(n[nH])c2=O)[N+](=O)O)OC
c1ccccc1c1n(c(=N)sc1)C(=N)SCC(=O)Nc1ccc(c(c1)O)O	Cc1ccc(cc1)c1csc2nnc(SCC(=O)Nc3ccc4OCOc4c3)n12	COc1ccc(cc1)ccccccccc((c((ccccccccccccccccccccccccccc
C(=C)/C=C\1/C2(C/C=C\C)SCCN2CC1=C	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21
c1cc(c(c(=O)n1Cc1cc(ccc1)OCCCC)C)O	CCCCCCOc1cccc(Cn2ccc(O)c(C(=O)O)c2=O)c1	CCCCCOc1ccc2c(Cc3ccc(OC)c(OC)cc3)nc2c1
O(/C(=N/C)/C(=N)N1CCC(C(C)O)CC1)C/C=C\CN/C=N/C/C(=C\C=C/C)/S	CC(O)C1CCN(CC1)c1nccnc1Oc1ccc(Nc2nc3ccccc3s2)cc1	COc1cc2ncc3c(N)nc(cc3c2cc1OC)n1ccnc1C(ccccccccccccccc
O=C1NCC(N1)C/C=C/C=C\C(=C)OCCCC	CCCCOc1cc(CC2CNC(=O)N2)ccc1OC	CC(C)c1c(OC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O
C(C(C)CCNCc1cncnc(c[nH]c1)N)S	CSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O	Cc1nc2nc(cnc2c(cnn2c(=O)[nH]1)C(=O)NCCCCCCCCCCN
C(=C)/C=C/C=C/C=C\C=C\CNCCNC(=O)C/C=c\1/cc[nH]/c1=C/C	O=C(N1CCN(CC1)C1c2ccccc2-c2ccccc12)c1ccc2[nH]ccc2c1	O=C(Nc(CC(=O)NO)c1ccc(cc1)c1ccccc1)c1cccnc1
C(=C\C(=C)/C=N\C=C\C(=N/Cc1cncc(c1)OC[C@H](Cc1ccccc1)N)\N)(\C=C)/O	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1cncc(OC[C@@H](N)Cc2ccccc2)c1	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1cncc(OC[C@H](N)Cc2ccccc2)c1
COc1c(c(cc(c1)Nc1nc(=C)/c(=C(\C)/C(=C)/C(=C\C)/OC)/o1)OC)OC	COc1cc(Nc2nc3cccc(c4c(F)cccc4OC)c3o2)cc(OC)c1OC	COc1cc2Nc3cccccc3cc(ccccccccccccccccccOcOcOcOccOO
COC/C=C\C(=C)/N=C(/c1sccn1)\Nc1ccc(cc1)/C(=N\C)/N	COc1cc2nc(c3nccs3)n(c3ccc4c(N)nc(N)nc4c3)c2cc1OC	COc1cc2ccccc2c(n1)c1csc(cccccccccccccccccccc
C=C/C(=C(/N)\C(=C)/C(=C/C=C/C(=C)I)/C=N\C=C)/Br	OC(=O)c1nc2ccc(I)cc2c2[nH]c3c(Br)cccc3c12	OC(=O)c1nc2ccc(I)cc2c2[nH]c3c(Br)cccc3c12
OC(=O)CO/C=C/C=C(\C)/SCCN/C=N/C(=C)c1c(cccc1OC)OC	COc1cccc(OC)c1c1cnnc(NCc2nc3cc(OCC(=O)O)ccc3s2)n1	COc1ccccc1c1c(c2cc3cc(Cc4ncc(CO)cOOOOccccccccccccccO
c1ncc2OCCCCCO/C(=C/C)/CNC(=O)Nc1n2	Clc1ccc2OCCCCCOc3cncc(NC(=O)Nc2c1)n3	Clc1ccc2OCCCCCOc3cccc(NC(=O)Nc2c1)n3
C=C(C)/C=C(/C/C(=C/C=C)/CC(=O)N)\C	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21	NC(=O)c1cc(cc(c1)c1ccc(cc1)c1ccccc1)C(=O)O
c1ccccc1C[C@H](C)NCNCCC1(CCc2c(cccc2)O1)C	O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CC1)CC(=O)c1ccccc1O2	C[C@H]1COC2=C1C(=O)C(=O)C1(CCC1)C1CCCCccccccccccccccccccccccccc
C1C(C)CC2CCCC1(C2)NCCCCCCCCNCC/C=C/C=C/N(C)C	CN(C)c1ccc(CC(=O)NCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1	CN(C)c1ccc(CC(=O)NCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcccC
CCNC(=O)CNCCN(/C(=C/C)/C=C(/Nc1sc(c2cnccc2)cn1)\N)CC	O=C(CN1CCN(CC1)c1ccnc(Nc2ncc(s2)c2cccnc2)c1)N1CCOCC1	CCn1c2nc(Nc3ccc(cc3)N3CCN(C)CC3)ncc2cc(c2ccc(cc2Cl)c2cncs2)c1=O
c1ccccc1C/C(=C/C(=C\CO)/O)/C	Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1	Oc1ccc2ccccccccccccccccccccccccccc
C(C)CS(=O)(=O)/C(=C/C=C/OC)/C	CC#CCOc1ccc(cc1)S(=O)(=O)CCCS	COc1ccc(cc1)S(=O)(=O)N(CC(=O)NO)C(=O)O
C1C2(NCCCCCCCCNCCc3ccccc3)CCCC(CC1C)C2	CN(C)c1ccc(CC(=O)NCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1	OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCCC1C#NCCCC(C1)c1ccccc1
C(CC(=O)O)C/C=C/N(C)c1ccc(Cl)cc1	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Cl)ccc12)C(=O)O	OC(=O)Cc1c([nH]c2c(Cl)cccc2c1ccccccCC
C(=C\C=C/CCC(NC)CCC1=CCNO1)\C	O=c1cc(o[nH]1)[C@H]1CCN[C@@H](Cc2ccccc2)C1	N[C@H]1CC[C@@H](Cc1c[nH]c1ccccc1)c1ccncc1
Clc1c(Cl)c(ccc1)CNCC1CNC[C@H](C1)NCOC(C)(C)C	CC(C)(C)OC(=O)N[C@@H]1CNC[C@@H](C1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1	CC(C)(C)OC(=O)N[C@@H]1CNC[C@@H](C1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1
C(=O)(C1=C(CCC1)C)N/C(=C/C=C/c1cccc(c1)OC(F)(F)F)/C(=C)F	OC(=O)C1=C(CCC1)C(=O)Nc1c(F)cc(cc1F)c1cccc(OC(F)(F)F)c1	OC(=O)C1=C(CCC1)C(=O)Nc1ccc(cc1F)c1cccc(OC(F)(F)F)c1
C(C)N(C)CCNCCCN(/C=C/CC(F)(F)F)c1ccccc1	CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1	CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(cc1)C(F)(F)F
C(=C\C(=C/C)\C)/CCCCCOC1[C@H](Cc2cc(ccn2)C)CNC1	Cc1ccnc(CCCCCO[C@H]2CNC[C@H]2Cc2cc(C)cc(N)n2)c1	Cc1cccc(c1)[C@]12CCC3CC@HC(C@CC@CCCCCCcccccccccccccccccccccccccc
FC(=C)/C=C(\C(=C)O)/[C@@H](C)CNC=O	Fc1ccc2OCC[C@]3(NC(=O)NC3=O)c2c1	COc1ccc2c(cccc2c1)[C@H](C)C(=O)O
[C@@H]1([C@H](CNC1)C/C(=C/C=C\CN)/N)NC	NCCN[C@@H]1CNC[C@@H]1Cc1cccc(N)n1	C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)C1)C(=O)c1ccc(cc1)N1CCN(C
COC(=C)/C=C\CNC(=O)CN(S(=O)(=O)c1c(nccc1)N)C	COc1ccc(NC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1	COc1ccc(N)c((NCC(==))())(=O)))ccccccccccccccccccccc
C1=Nc2c(CN1)cc([nH]2)CCCc1csc(C(=O)N[C@H](C=O)CCCO)c1	Nc1nc2[nH]c(CCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Oc(=c)C[nH](CcccccccccccccccccccccccccccccccC)COC)OO
ClC/C=C\C(=C/C)\C=N\C=C\c1n(CC)c2ccc(cc2n1)C(=O)NCCOC	COCCNC(=O)c1ccc2n(CCOC)c(nc2c1)c1cnc([nH]1)c1ccc(Cl)cc1	CCc1nc(cn1Cc1c(CcccccccccccccccCCCCCCCCCCCCCccccccccccccccc
OC(=O)C1CCC=C(C1)N(/C=C/C=C)CC(=O)N	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Cl)ccc12)C(=O)O
OC/C=c\1/c(ccc/c1=C/C)Nc1ccccc1C(=O)O	OC(=O)C(=O)N(c1ccccc1C(=O)O)c1cccc2ccc(O)cc12	OC(=O)c1ccccc1ccccccccccccccccccccccccc
Fc1ccc(c(c1CC(CNC)NC(=O)Nc1sc(S)nn1)F)F	CNC(=O)[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)Nc1nnc(S)s1	CCCNC(=O)NCCC(=O)Nc1ccc((cc(F)())()))c()F)(FFFF))FFF
c1(ccccc1C(=O)NC(C)c1nnc(SCCOc2ccccc2)n1C)F	CC(NC(=O)c1c(F)cccc1F)c1nnc(SCCOc2ccc(F)cc2)n1C	CN1CC2=C([C@H](c2c1Cc(ncccccccccccccccccccccccccc
C(NCCOC/C=C\C(=C)C/C(=C/C)/C)C	C(CN1CCCC1)Oc1ccc(Cc2ccccc2)cc1	CN(CC=C)CCOc1ccc(cc1)c1ccc(cc1)C(=O)c1O
C(=C\CS(=O)=O)\C(=C)CNCc1ccccc1F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(F)cc1F
CCCCCNCCC/C(=C/C(=N\C)/C(CC)CC)/N	N#Cc1nc(CCCN2CCCCC2)cc(n1)C1CCCCCC1	NCC1CCN(Cc2ccc3[nH]c(cc3c2)c2ccCCCCCCCCCCCCCCC
C(=C(\C)/CN1C(=C)CNC(=O)C1)\C	O=C1CN(Cc2ccccc2)c2ccccc2N1	CC1(C(=O)Nc2cccccccccccccccc
Brc1cc(ccc1)CCCCCCNCC(=O)N	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O	NC(=O)c1ccc(CCCCCCCCCCccccccccc)c))ccc
C/C=C(\N)/c1nc(cc(C)n1)NCCNc1cccc(n1)C(F)F	Cc1nc(nc(NCCNc2cccc(n2)C(F)(F)F)c1Cl)c1ccccn1	Cc1cn(cn1)c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)c3cccnc3)c2)c(
CC/C=C/C1(C(=C)/C=C/C(C)(C)CCC(C)(C)C=C)CC1	C/C(=C\C(=O)O)/C=C/C1(CC1)c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CCCC1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
C(=C\C)(\C=C(\N)/CC(=O)NC(=C)/C=C\C=C)/Cl	OC(=O)Cc1ccc2Nc3cc(Cl)ccc3C(=O)Nc2c1	OC(=O)CN(c1ccccccccccccccccccccccccccccc
C(=C\C(=O)O)/C=N\C(=C)c1nccc(c1)C(=O)NCC/C=C/C=C	OC(=O)c1ccnc(c1)c1cc(ccn1)C(=O)NCCc1ccccc1	CC(=O)c1cccc(c1)c1cc2nc(N)nc(N)c2cc1C
C/C=C\C=C\C(=C/C=C)\N/C(=N/CC)/S	CC(=O)c1sc(Nc2ccc3ccccc3c2)nc1C	Cc1cccc(c1)c1nsc2C(=O)c3cccc(c3c
N(/C=C(/CC(PO)(P(=O)(O)O)O)\C)C	C[n+]1cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c1	C[C@](O)(Cc1ccc(O)((=O)O)c(O)O)(OO)O)))OO)))O))))))
c1(cc(nn1CCO)CN)/C(=N/C(=N)Nc1cc(ccc1OC(F)F)NCCN(CC)C)/C	CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2ncc3CCc4c(nn(CCO)c4-c3n2)C(=O)N)c1	CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2nccc(n2)c2cc3c(CCNC3=O)n2C)c1
C(NC(=N)N)(C(=O)NCC(=O)N(C)CCCc1[nH]nc(c2c(c(Cl)ccc2)Cl)c1)C(CCC)C	NC(=N)NC(C1CCCCC1)C(=O)NCC(=O)N1CCC(CC1)c1cc(n[nH]1)c1cccc(Cl)c1Cl	NC(=N)NC(C1CCCCC1)C(=O)NCC(=O)N1CCC(CC1)c1cc(n[nH]1)c1cccc(Cl)c1Cl
C(=C\C=N)(\C)/NC/C(=C/CC/C=C\C=C/C)/N	N(c1ccncc1)c1ncnn2cc(cc12)c1ccccc1	O=c1cccccccccccccccccccccccccccccc
O=CNc1[nH]c(c2ccc3c(c2)nccn3)c(C/N=C\C)n1	CC(=O)Nc1nc(c([nH]1)c1ccc2nccnc2c1)c1ccc(F)c(C)n1	Cc1nccn(c1cccccccccccccccccccccccccccccc
O=C(N)CC/C(=C/C=C/CNc1ccccc1)/C=C/N	NC(=O)c1ccccc1c1ccc2c(Nc3ccccc3NC2=O)c1	C[C@H](Cc1ccccc1)cccccccccccccccccccccccccccc
C=CC(=C)Sc1c(cnc(c1)NC1CCCNC1)C(=O)N	NC(=O)c1cnc(N[C@H]2CCCNC2)c2cc(sc12)c1ccc(Cl)cc1	NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)c1ccc(Cl)cc1
C/C=C(/C)\C(=C)COCCCCc1c2c(ccc1)CCCN2CC(=O)O	OC(=O)c1c(CCCOc2cccc3ccccc23)c2cccc3CCCn1c23	OC(=O)C1CCc2c(C1)[nH]c1CCCCcCCCCCCCcccccccccccccccccCccc
OCC(O)C[C@H](O)CCNC(=O)NC(=O)c1ccccc1	OC[C@H]1O[C@@H](NC(=O)NC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)NC(=O)c2ccc(Cl)cc2)[C@H](O)[C@@H](O)[C@@H]1O
c1cc(ccc1NC/C(=C/C)/C=C(\C)/F)C(=C)C(=N)CC	CCc1nc(N)nc(N)c1c1ccc(NCc2cc(F)cc(F)c2)cc1	Cc1nc[c2ccc(cc12)c1cccc(c1)C(cccccccccccccccc
c1(c(Cl)cc(cc1)c1cc(=O)[nH]c(n1)SCC(=O)NC/C=C\C(=C)S(=O)=O)Cl	CC(Sc1nc(c2ccc(Cl)c(Cl)c2)c(C#N)c(=O)[nH]1)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CS(Sc1ccc(cc1)c1cccccc(c(c(ccccccc(ccc)c)c))(ccc)(cc)c)c)cccccccc
Cl/C(=C(\O)/C(=C)C1[C@H](O)[C@@H](O)[C@H](O)CO1)/C	COc1cc(Cl)c(O)c(c1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)O)[C@H](O)[C@@H](O)[CC@H]1O
C1CC(CCN1C(=O)c1ccc(C(=O)N(C)CCC(N2CCCC2)C)c(c1)N/C=C/C=C)N(CC)CC	O=C(N1CCC(CC1)N1CCCC1)c1ccc(C(=O)N2CCC(CC2)N2CCCC2)c(Nc2ccccc2)c1	CCN(C)C(CC(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcCccCcccCccccCcCccC
c1(c(Cl)cccc1)N/C(=C(/C(=O)O)\CC)/C	CCOC(=O)c1c(C)nn(c1C)c1ccccc1Cl	OC(=O)c1ccc(Nc2cccccccccccccccccccc
C1N(C(=O)CCCN(C)CCNCN(c2ccccc2)N=C(C)C)CSC1	Cc1cc(N2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)n(n1)c1ccccc1	Cc1nc(c(CN2CCN(CC2)C(=O)C)CNC(=cCcCCCCccCcccccccccccccccccc
NC(=O)Cn1c2c(cccc2)cc1C[C@H](C=O)C	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O	NC(=O)Cn1c2C[C@@H](CCc2c2cc(Cl)ccc12)C(=O)O
C(N)C/C=C(/C)\CNCC/N=C(\C)/C1(O)CCCCC1	NC(=N)c1ccc2[nH]c(cc2c1)c1cccc(n1)C1(O)CCCCC1	NC(=O)c1ccc(NC2CcccCccccccccccccCCCCCCCC
CCOCC1[C@H](C(=C)C)NC(=S)N=C1C	CCOC(=O)C1[C@@H](NC(=S)N=C1C)c1cccc(O)c1	OC1=C2CCcccCCC@HCCcCccCccccccccccccCcCCCCCCCCCCC
n1[nH]cc2c1cc(cc2)C/C=C(\N=C\N)/NC[C@H](NC(=O)OC(C)(C)C)C	C[C@@H]1C[C@H](CN(C1)c1cc(nc(N)n1)c1ccc2c(N)[nH]nc2c1)NC(=O)OC(C)(C)C	C[C@@H](C[C@H](cccccccccccccccccccccccccccccccn))))))CC)CCCCCCCCCCC
CCCCCN/C(=C/1\N=CN(CCN2CCN(C)CC2)C1)/N=C	CN1CCN(CCn2cnc3c(NC4CCCCC4)nc(nc23)C#N)CC1	CN1CCN(CCn2cnc3c(NC4CCCCC4)nc(nc23)C#N)CC1
C(C)N(CC)c1snc(c1N=C)/C=C/C/C=C\CN	COc1cc(ccc1N)c1cnc2c(snc2c1)N1CCOCC1	CC(C)NNCCC1cccc(cccccccccccccccccccccc
C(=C)(S(=O)(=O)NCN/C(=N/C(=C)C)/N)/C(=C\C=C)/COC	COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)cc(C)n1	COc1nc2cccnc2n1C1S(=O)(=O)c1ccc(cc1c1c)n1cccc1
O=C(C=O)C(CC)NC(=O)/C(=C/C)/C=C(/C(F)(F)F)\COCc1ncccc1	CCC(NC(=O)c1ccc(OCc2ccccn2)c(c1Cl)C(F)(F)F)C(=O)C(=O)N	OC(=O)CCC(=O)Nc1cccc2C(cccccccccccccccc))F)FFF)F)FF)FF)F)FF
C(=N\C)(\C=N)/N/C=C/C(=N)NCC1CCNCC1	N#Cc1cnc(Nc2cc(NCC3CCNCC3)ncn2)cn1	N#Cc1cnc(Nc2cc(NCC3CCNCC3)ncn2)cn1
C(=C\C1CC1/C=C/C=C\C(=O)O)/C(=C/C)/C(C)(C)CC	C/C(=C/C(=O)O)/C=C/C1CC1/C=C/C1=CC(C)(C)CCC1(C)C	C/C(=C/C(=O)O)/C=C/C1CC1/C=C/C1=CC(C)(C)CCC1(C)C
[C@H]1(/C=C/C=C(\C=C\CCC1)/O)CC[C@H](C)[C@H](C)O	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	CO[C@H]1[C@@H]2[C@@H](CCCC=CC(CCCCCC@@C@@CC@@CCC@CCCCCCCCCCcC
N(=C)/C=c/1\c(=C)c(ccc1)c1cc(cc(c1)O)C(C)C#Cc1c(ncnc1CC)N	CCc1nc(N)nc(N)c1C#CC(C)c1cc(OC)cc(c1)c1cccc2cnccc12	CCc1nc(N)nc(N)c1C#CC(C)c1cc(OC)cc(c1)c1cccc2cnccc12
c1c(C[C@@H](N)CO/C(=C/C(=C)/C(=C/c2c(C)cnc3c2cccc3)/N)/C=N)cccc1	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1cncc(OC[C@H](N)Cc2ccccc2)c1	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1cncc(OC[C@H](N)Cc2ccccc2)c1
CCCN(S(=O)(=O)c1cc(ccc1)OC)CCNS(=O)(=O)/C(=C/C=C\C)/C	Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	COc1ccc(cc1)S(=O)(=O)N(CC(=O)NO)C(CCCCN1C(=O)c1ccc(OC)cc1)c1ccccc1
C(C1SCCS1)N/C(=C/1\C(=C(NC1)c1ccc(cc1)OC)c1ccccc1)/N=C	CN(C)CCOc1ccc(cc1)c1[nH]c2ncnc(NCC3SCCS3)c2c1c1ccccc1	COc1cc2ccccc2n1c1ccc2n(Cn3ccc(cn3)C3CC2)Sc2cccCc2c1
c1(ccccc1)c1ccc(cc1)C[C@H](C[C@H](C(=O)O)C)NC(=O)CC	C[C@H](C[C@@H](Cc1ccc(cc1)c1ccccc1)NC(=O)CCC(=O)O)C(=O)O	C[C@H](C[C@@H](Cc1ccc(cc1)c1ccccc1)NC(=O)CCC(=O)O)C(=O)O
c1cc(cs1)S(=O)NC/C(=C\C(=C/C)\C(=O)O)/O	OC(=O)c1sccc1S(=O)(=O)Nc1ccc(cc1O)C(=O)O	OC(=O)c1cccc(c((S====))(cOOOcOccccccccccc
c1(nc(nc(c1N)Nc1ccccc1OCCCN1CCN(CC1)C)C#N)NC	CN1CCN(CCCOc2ccccc2Nc2nc(nc3n(cnc23)C2CCCC2)C#N)CC1	CN1CCN(CCCOc2ccccc2Nc2nc(nc3n(cnc23)C2CCCC2)C#N)CC1
CN(C/C=C/CO/C(=C/c1cc(nn1C)C(=C)/C=C\CBr)/CF)C	CN(CC=C)C/C=C/COc1cc2n(C)nc(c3ccc(Br)cc3)c2cc1F	CN(CC=C)C/C=C/COc1cc2n(C)nc(c3ccc(Br)cc3)c2cc1F
C/C=C(\CF)/C[C@@H](N)CC(=O)N1[C@H](CNC(=O)/C(=C/C)/C=C\C)CCC1	N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)c1ccccc1)Cc1ccccc1F	Cc1nc((@@@CCCCCCCCCCCCCCCCcCcccccccccccccccccccccccccccccccccccc
C(=C\C=C\CC(=O)N/C(=C/CC1CC1)/NN)(/CS)\C=C	O=C(Cc1ccc(cc1)c1cccs1)Nc1cc(n[nH]1)C1CC1	NC(=O)c1ccccccccccccccccccccccccccccccccccccccc
C(=C\C=C\OCCn1c2c(nc1SCCC=O)cccc2)/C	Cc1ccc(OCCn2c(SCCC(=O)O)nc3ccccc23)cc1	CC(=O)c1cccc(c1)c1cc2nc(SCC=ccccccccccccccccc
CCO/C(=C/C=C/S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(=O)(=O)C)/C	CCCCOc1ccc(cc1)S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(=O)(=O)C	CCCCOc1ccc(cc1)c1S(=O)(=O)N[C@H]1C[C@H]((O)[C@@H](O)CCCCC(=O)O
n1c(nc(c(C)c1C/C=C/N(C)C)O)OCCCC(F)(F)F	Cn1cnc(c1)c1nccc2c(O)nc(OCCCC(F)(F)F)nc12	Cc1cn(cn1)c1cc(CCcc(cc()))c(c)CC)C))))FF)F))F
n1c2nc(NC(=C)C)nc(c2[nH]c1)OCC1CCCCC1	Oc1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1	CC(=O)c1c(C)c2cnc(Nc3ccc(cn3)N3CCOCC3)nc2n(C2CCCC2)c1=O
CC(C)C/C(=C\C(=C\C(=C)C(F)(F)F)\NC)/N	CC[C@@H]1[C@H](C)CNc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F	CC[C@@H]1C[C@H](C)Nc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F
c1(=O)cc(C(=O)N[C@H](C(=C)C=C)CC(=O)O)[nH]n1c1ccccc1F	Cc1ccccc1[C@H](CC(=O)O)NC(=O)c1cc(=O)n([nH]1)c1ccccc1F	OC(=O)C1CN(C1)C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1
